MH0,MA0,MHC,lam2,lamL,xsec_3535_13TeV,xsec_3636_13TeV,xsec_3737_13TeV,xsec_3537_13TeV,xsec_3637_13TeV,xsec_3735_13TeV,xsec_3736_13TeV,xsec_3536_13TeV
2078.8,1873.11,875.76,3.6887,4.01562,1.3168e-09,2.4929e-08,0.0014184,5.3812e-07,9.8425e-07,1.5985e-07,2.9825e-07,2.8653e-08
2484.42,780.367,1148.77,4.27382,-1.07839,8.2569e-12,0.0046088,0.00039506,8.9078e-08,1.2395e-05,2.5663e-08,3.9759e-06,1.2916e-07
2204.46,371.932,2557.0,12.087,-3.44225,4.5084e-10,0.3264,7.3265e-09,5.601e-09,3.6071e-07,1.5269e-09,1.1206e-07,6.7199e-07
1477.22,2711.11,1712.9,5.62242,-1.19827,4.7135e-09,1.2858e-08,3.1683e-07,3.312e-07,1.2835e-08,9.6711e-08,3.513e-09,1.4326e-08
366.232,1260.03,2544.58,4.19466,3.57771,0.00069105,1.0421e-05,1.1977e-07,3.8068e-07,5.8817e-08,1.1623e-07,1.6793e-08,1.7779e-05
1153.7,696.559,216.801,10.5253,1.45226,6.1141e-08,0.00017885,0.70775,5.8277e-05,0.00051456,2.1137e-05,0.00020471,1.0237e-05
2269.26,89.4146,2717.47,1.88447,3.29153,2.8134e-10,682.46,6.6133e-09,3.2353e-09,3.075e-07,8.5825e-10,9.6426e-08,7.9338e-07
1215.3,583.793,2804.23,2.33322,-0.0744416,1.0381e-10,0.0012338,2.4199e-08,3.1543e-08,1.2191e-07,9.0926e-09,3.6789e-08,1.152e-05
2240.75,2489.5,2799.08,5.90586,-5.8174,1.0198e-09,1.309e-09,4.1819e-09,2.831e-09,1.5375e-09,7.4293e-10,4.0438e-10,3.963e-09
2423.99,2660.14,970.778,8.52144,3.33313,1.1562e-10,1.33e-09,0.0013631,1.6066e-07,8.3044e-08,4.6349e-08,2.4059e-08,1.6362e-09
2569.67,618.952,1699.95,3.78416,2.3671,2.4503e-11,0.02464,5.7009e-06,1.8786e-08,3.1262e-06,5.2224e-09,9.8796e-07,1.4185e-07
1774.78,920.046,528.414,11.5859,6.18834,1.9329e-08,0.00016752,0.02232,3.0032e-06,6.1956e-05,9.4603e-07,2.2023e-05,7.4673e-07
2861.24,2223.17,2171.43,4.98694,2.99917,6.6752e-12,8.6788e-08,2.8445e-07,2.8255e-09,1.4602e-08,7.5428e-10,3.9304e-09,1.6114e-09
1845.59,2584.01,408.566,8.96667,1.06716,3.8191e-10,1.2145e-08,0.16187,3.0918e-06,3.1373e-07,9.7176e-07,9.6783e-08,8.2552e-09
1529.28,1507.92,131.178,11.8465,-5.35874,6.6978e-08,1.1161e-07,45.516,1.5194e-05,1.633e-05,5.1633e-06,5.6253e-06,3.1891e-07
1810.31,1010.36,924.129,0.892894,-5.96715,1.4615e-08,0.00015423,0.00068617,1.0536e-06,1.2546e-05,3.1464e-07,4.1069e-06,5.358e-07
1658.41,883.654,1932.86,8.14474,-2.38663,5.8775e-09,0.00026819,1.1603e-07,1.123e-07,8.0631e-07,3.2453e-08,2.4425e-07,1.1695e-06
250.107,1957.43,2477.08,9.76144,-5.5498,0.013038,5.3632e-07,1.3855e-07,5.4874e-07,1.3027e-08,1.7078e-07,3.5156e-09,1.8284e-06
1280.58,644.6,2897.27,11.2974,-2.10613,5.2769e-08,0.00091913,1.4399e-08,2.1334e-08,8.3987e-08,6.0085e-09,2.4884e-08,7.7312e-06
