epoch,loss,val_loss
0,12.363823003985647,14.808913793845866
1,12.341455002669793,18.35820782019175
2,12.158057185210668,14.978329825075019
3,12.047254735367831,15.538654622923005
4,12.24834433806051,15.02459015117466
5,12.046786750034837,16.022833266318933
6,12.109663827179277,19.336955684647627
7,12.512845263135707,15.990221701782735
8,12.175070285288555,21.150818555066888
9,12.163518035682742,15.588756309923275
10,12.279923160020005,16.659875317935978
11,12.339870391735854,14.7880707104727
12,12.286665338323294,27.37983019877443
13,13.929001461482535,14.047143645920427
14,12.164743341935239,15.466580375140564
15,12.084166657299706,15.762336189364209
16,12.210791845319308,52.14174255926377
17,12.096351594507905,14.986061450134272
18,12.14506752487672,45.43173055852335
19,12.203719862980881,15.008901764005095
20,12.176334408957159,14.482625443440941
21,12.210183489126083,15.708824468943615
22,11.997717645798337,16.560128115868384
23,11.98381998595891,51.38551929540321
24,12.217918320572183,18.017221655979352
25,12.165249410474825,15.176912990252086
26,12.053591792211236,16.28007288441862
27,12.065566938048029,39.613795248968586
28,12.257157855198571,14.787268627841046
29,12.01301522301497,15.141961344966182
30,12.094259376863878,17.449856399885146
31,12.005200602460782,17.549498275200456
32,12.053321108003178,15.287891056905217
33,12.387859542196344,45.12563744763208
34,12.196070840315897,16.541637933771057
35,12.152712473242225,17.188094551819503
36,12.387136864245539,14.791474646364676
37,13.291341308495479,15.688200914662401
38,12.370123949989008,15.157965574667024
39,12.234592160616039,14.743492169726556
40,12.130663774512108,15.752817929629584
41,12.763512854247892,15.312207602852212
42,12.312812210234481,15.129344951685496
43,12.343566713639051,14.495763840932277
44,12.019433603733496,15.799451400040553
45,12.518625983907098,15.592425821340646
46,12.229611860286692,16.173698104937255
47,12.356267826425519,15.246837733339289
48,12.12007457760695,15.086062969825111
49,11.994535531605695,15.598583134638314
50,12.19698187273886,18.625029736585578
51,13.138873775809849,17.150564675993277
52,12.203777512824118,18.566743926370368
53,12.193904104865755,15.945137064631949
54,12.333935516228168,14.902423600441349
55,12.266236350146904,15.493632929281066
56,12.074347980967772,16.048175993850098
57,12.264145241328245,17.444937229841013
58,12.024734883422251,20.74454459337221
59,12.300641948062447,15.422695620914022
60,12.472684511354787,18.17743585914935
61,12.39037616666205,15.985480507956428
62,12.30386605956359,15.9370931154781
63,12.108629650826703,15.134996629215356
